annotation_id,participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,description
P01_01_NC_0,P01,P01_01,00:00:05.924,00:00:08.315,142176,199560,clang / clatter
P01_01_NC_1,P01,P01_01,00:00:10.606,00:00:11.066,254544,265584,clang / clatter
P01_01_NC_2,P01,P01_01,00:00:19.127,00:00:21.356,459048,512544,clang / clatter
P01_01_NC_3,P01,P01_01,00:00:31.065,00:00:31.602,745560,758448,clang / clatter
P01_01_NC_4,P01,P01_01,00:00:41.049,00:00:41.445,985176,994680,clang / clatter
P01_01_NC_5,P01,P01_01,00:00:43.252,00:00:44.165,1038048,1059960,clang / clatter
P01_01_NC_6,P01,P01_01,00:00:56.549,00:00:57.369,1357176,1376856,put object on surface
P01_01_NC_7,P01,P01_01,00:01:23.591,00:01:25.508,2006183,2052192,clang / clatter
P01_01_NC_8,P01,P01_01,00:01:25.945,00:01:26.945,2062679,2086679,put object on surface
P01_01_NC_9,P01,P01_01,00:01:43.320,00:01:43.695,2479680,2488680,clang / clatter
P01_01_NC_10,P01,P01_01,00:01:44.668,00:01:45.508,2512032,2532192,clang / clatter
P01_01_NC_11,P01,P01_01,00:02:06.478,00:02:06.978,3035472,3047472,clang / clatter
P01_01_NC_12,P01,P01_01,00:02:07.436,00:02:08.144,3058464,3075456,clang / clatter
P01_01_NC_13,P01,P01_01,00:02:22.790,00:02:23.103,3426960,3434472,clang / clatter
P01_01_NC_14,P01,P01_01,00:03:42.936,00:03:43.374,5350464,5360976,clang / clatter
P01_01_NC_15,P01,P01_01,00:04:03.765,00:04:04.465,5850360,5867160,clang / clatter
P01_01_NC_16,P01,P01_01,00:04:12.380,00:04:13.825,6057120,6091800,clang / clatter
P01_01_NC_17,P01,P01_01,00:04:18.867,00:04:19.787,6212808,6234887,clang / clatter
P01_01_NC_18,P01,P01_01,00:04:26.159,00:04:26.700,6387816,6400800,clang / clatter
P01_01_NC_19,P01,P01_01,00:04:27.263,00:04:27.971,6414311,6431304,clang / clatter
P01_01_NC_20,P01,P01_01,00:04:44.804,00:04:45.304,6835295,6847295,clang / clatter
P01_01_NC_21,P01,P01_01,00:04:54.950,00:04:56.034,7078800,7104816,clang / clatter
